id,value
area.2010.MAGDALENA,10
area.2011.SANTANDER,39
area.2005.AMAZONAS,1
area.2010.PUTUMAYO,73
area.2012.CASANARE,19
area.2009.CUNDINAMARCA,100
area.2015.VALLE DEL CAUCA,11
area.2011.CAUCA,23
area.2013.CESAR,25
area.2006.HUILA,194
area.2010.ARAUCA,11
area.2010.NARINO,24
area.2013.CUNDINAMARCA,37
area.2013.NORTE DE SANTANDER,25
area.2004.VAUPES,1
area.2007.GUAVIARE,8
area.2009.CHOCO,27
area.2010.GUAVIARE,18
area.2011.QUINDIO,27
area.2005.MAGDALENA,112
area.2010.SUCRE,11
area.2006.VICHADA,14
area.2013.GUAVIARE,6
area.2014.ANTIOQUIA,100
area.2010.AMAZONAS,2
area.2005.ANTIOQUIA,4277
area.2015.PUTUMAYO,4
area.2012.NARINO,15
area.2006.VALLE DEL CAUCA,393
area.2012.ANTIOQUIA,102
area.2008.NORTE DE SANTANDER,28
area.2005.CUNDINAMARCA,244
area.2013.SUCRE,3
area.2014.CESAR,18
area.2012.ARAUCA,8
area.2005.ATLANTICO,277
area.2007.GUAINIA,4
area.2009.QUINDIO,35
area.2009.ATLANTICO,25
area.2011.VICHADA,5
area.2011.RISARALDA,22
area.2008.PUTUMAYO,55
area.2007.AMAZONAS,2
area.2003.VALLE DEL CAUCA,54
area.2008.ARAUCA,12
area.2008.NARINO,25
area.2014.BOLIVAR,17
area.2011.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2009.SANTANDER,58
area.2006.BOYACA,556
area.2009.CASANARE,66
area.2005.NORTE DE SANTANDER,226
area.2008.HUILA,119
area.2006.VAUPES,3
area.2010.VICHADA,5
area.2011.SUCRE,12
area.2012.VALLE DEL CAUCA,94
area.2004.MAGDALENA,82
area.2012.AMAZONAS,1
area.2004.TOLIMA,76
area.2014.CASANARE,16
area.2013.GUAINIA,3
area.2005.BOLIVAR,391
area.2003.CHOCO,12
area.2003.PUTUMAYO,12
area.2008.CASANARE,57
area.2003.VAUPES,1
area.2004.BOYACA,44
area.2011.ARAUCA,15
area.2008.CESAR,40
area.2012.MAGDALENA,14
area.2007.MAGDALENA,11
area.2014.CHOCO,13
area.2011.Por establecer,203
area.2008.SANTANDER,61
area.2015.BOLIVAR,0
area.2012.CHOCO,12
area.2003.CUNDINAMARCA,130
area.2005.SUCRE,366
area.2004.CALDAS,20
area.2014.CUNDINAMARCA,44
area.2011.BOGOTA,158
area.2006.BOGOTA,1296
area.2015.ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,0
area.2006.SUCRE,307
area.2004.SUCRE,91
area.2007.HUILA,145
area.2015.MAGDALENA,0
area.2003.NARINO,7
area.2006.CHOCO,289
area.2005.PUTUMAYO,17
area.2008.ANTIOQUIA,250
area.2007.CUNDINAMARCA,99
area.2008.LA GUAJIRA,8
area.2004.CAQUETA,23
area.2005.QUINDIO,95
area.2006.RISARALDA,210
